Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,EmploymentStatus,Citizenship
1,30.83,0.0,1,1,Manufacturing,White,1.25,1,1,1,0,ByBirth,202,0,1,Employed,Indian
0,58.67,446000.0,1,1,Other,Black,3.04,1,1,6,0,ByBirth,43,560000,1,Employed,Indian
0,24.5,50000.0,1,1,Other,Black,1.5,1,0,0,0,ByBirth,280,824000,1,Employed,Indian
1,27.83,154000.0,1,1,Manufacturing,White,3.75,1,1,5,1,ByBirth,100,3000,1,Employed,Indian
1,20.17,562500.0,1,1,Manufacturing,White,1.71,1,0,0,0,ByOtherMeans,120,0,1,Employed,Indian
1,32.08,400000.0,1,1,Other,White,2.5,1,0,0,1,ByBirth,360,0,1,Employed,Indian
1,33.17,104000.0,1,1,Other,Black,6.5,1,0,0,1,ByBirth,164,31285000,1,Employed,Indian
0,22.92,1158500.0,1,1,Other,White,0.04,1,0,0,0,ByBirth,80,1349000,1,Employed,Indian
1,54.42,50000.0,0,0,Banking,Black,3.96,1,0,0,0,ByBirth,180,314000,1,Employed,Indian
1,42.5,491500.0,0,0,Manufacturing,White,3.165,1,0,0,1,ByBirth,52,1442000,1,Employed,Indian
1,22.08,83000.0,1,1,Other,Black,2.165,0,0,0,1,ByBirth,128,0,1,Employed,Indian
1,29.92,183500.0,1,1,Other,Black,4.335,1,0,0,0,ByBirth,260,200000,1,Employed,Indian
0,38.25,600000.0,1,1,Banking,White,1.0,1,0,0,1,ByBirth,0,0,1,Employed,Indian
1,48.08,604000.0,1,1,Banking,White,0.04,0,0,0,0,ByBirth,0,2690000,1,Employed,Indian
0,45.83,1050000.0,1,1,Other,White,5.0,1,1,7,1,ByBirth,0,0,1,Employed,Indian
1,36.67,441500.0,0,0,Banking,White,0.25,1,1,10,1,ByBirth,320,0,1,Employed,Indian
1,28.25,87500.0,1,1,Other,White,0.96,1,1,3,1,ByBirth,396,0,1,Employed,Indian
0,23.25,587500.0,1,1,Other,White,3.17,1,1,10,0,ByBirth,120,245000,1,Employed,Indian
1,21.83,25000.0,1,1,Other,Black,0.665,1,0,0,1,ByBirth,0,0,1,Employed,Indian
0,19.17,858500.0000000001,1,1,Other,Black,0.75,1,1,7,0,ByBirth,96,0,1,Employed,Indian
1,25.0,1125000.0,1,1,Other,White,2.5,1,1,17,0,ByBirth,200,1208000,1,Employed,Indian
1,23.25,100000.0,1,1,Other,White,0.835,1,0,0,0,ByOtherMeans,300,0,1,Employed,Indian
0,47.75,800000.0,1,1,Other,White,7.875,1,1,6,1,ByBirth,0,1260000,1,Employed,Indian
0,27.42,1450000.0,1,1,Other,Black,3.085,1,1,1,0,ByBirth,120,11000,1,Employed,Indian
0,41.17,650000.0,1,1,Other,White,0.5,1,1,3,1,ByBirth,145,0,1,Employed,Indian
0,15.83,58500.0,1,1,Other,Black,1.5,1,1,2,0,ByBirth,100,0,1,Employed,Indian
0,47.0,1300000.0,1,1,Other,Asian,5.165,1,1,9,1,ByBirth,0,0,1,Employed,Indian
1,56.58,1850000.0,1,1,Other,Asian,15.0,1,1,17,1,ByBirth,0,0,1,Employed,Indian
1,57.42,850000.0,1,1,Education,Black,7.0,1,1,3,0,ByBirth,0,0,1,Employed,Indian
1,42.08,104000.0,1,1,Manufacturing,White,5.0,1,1,6,1,ByBirth,500,10000000,1,Employed,Indian
1,29.25,1479000.0,1,1,Other,White,5.04,1,1,5,1,ByBirth,168,0,1,Employed,Indian
1,42.0,978999.9999999999,1,1,Other,Black,7.96,1,1,8,0,ByBirth,0,0,1,Employed,Indian
1,49.5,758500.0,1,1,Other,Asian,7.585,1,1,15,1,ByBirth,0,5000000,1,Employed,Indian
0,36.75,512500.0,1,1,Education,White,5.0,1,0,0,1,ByBirth,0,4000000,1,Employed,Indian
0,22.58,1075000.0,1,1,Other,White,0.415,1,1,5,1,ByBirth,0,560000,1,Employed,Indian
1,27.83,150000.0,1,1,Manufacturing,White,2.0,1,1,11,1,ByBirth,434,35000,1,Employed,Indian
1,27.25,158500.0,1,1,Other,Black,1.835,1,1,12,1,ByBirth,583,713000,1,Employed,Indian
0,23.0,1175000.0,1,1,Other,Black,0.5,1,1,2,1,ByBirth,300,551000,1,Employed,Indian
1,27.75,58500.0,0,0,Other,White,0.25,1,1,2,0,ByBirth,260,500000,1,Employed,Indian
1,54.58,941499.9999999999,1,1,Healthcare,Latino,14.415,1,1,11,1,ByBirth,30,300000,1,Employed,Indian
1,34.17,917000.0,1,1,Other,White,4.5,1,1,12,1,ByBirth,0,221000,1,Employed,Indian
1,28.92,1500000.0,1,1,Other,Black,5.335,1,1,11,0,ByBirth,0,2283000,1,Employed,Indian
1,29.67,141500.0,1,1,Manufacturing,Black,0.75,1,1,1,0,ByBirth,240,100000,1,Employed,Indian
1,39.58,1391500.0,1,1,Manufacturing,White,8.625,1,1,6,1,ByBirth,70,0,1,Employed,Indian
1,56.42,2800000.0,0,0,Other,White,28.5,1,1,40,0,ByBirth,0,15000,1,Employed,Indian
1,54.33,675000.0,1,1,Other,Black,2.625,1,1,11,1,ByBirth,0,284000,1,Employed,Indian
0,41.0,204000.0,0,0,Other,Black,0.125,1,1,23,1,ByBirth,455,1236000,1,Employed,Indian
1,31.92,446000.0,1,1,Other,Black,6.04,1,1,3,0,ByBirth,311,300000,1,Employed,Indian
1,41.5,154000.0,1,1,Other,Asian,3.5,0,0,0,0,ByBirth,216,0,1,Employed,Indian
1,23.92,66500.0,1,1,Other,White,0.165,0,0,0,0,ByBirth,100,0,1,Employed,Indian
0,25.75,50000.0,1,1,Other,Black,0.875,1,0,0,1,ByBirth,491,0,1,Employed,Indian
1,26.0,100000.0,1,1,Other,White,1.75,1,0,0,1,ByBirth,280,0,1,Employed,Indian
1,37.42,204000.0,1,1,Manufacturing,White,0.04,1,0,0,1,ByBirth,400,5800000,1,Employed,Indian
1,34.92,250000.0,1,1,Manufacturing,White,0.0,1,0,0,1,ByBirth,239,200000,1,Unemployed,Indian
1,34.25,300000.0,1,1,Other,Black,7.415,1,0,0,1,ByBirth,0,0,1,Employed,Indian
1,23.33,1162500.0,0,0,Manufacturing,White,0.835,1,0,0,1,ByBirth,160,300000,1,Employed,Indian
1,23.17,0.0,1,1,Other,White,0.085,1,0,0,0,ByBirth,0,0,1,Employed,Indian
1,44.33,50000.0,1,1,Other,Black,5.0,1,0,0,1,ByBirth,320,0,1,Employed,Indian
1,35.17,450000.0,1,1,Other,Black,5.75,0,0,0,1,ByOtherMeans,711,0,1,Employed,Indian
1,43.25,300000.0,1,1,Other,Black,6.0,1,1,11,0,ByBirth,80,0,1,Employed,Indian
1,56.75,1225000.0,1,1,Other,White,1.25,1,1,4,1,ByBirth,200,0,1,Employed,Indian
1,31.67,1616500.0,1,1,Other,White,3.0,1,1,9,0,ByBirth,250,730000,1,Employed,Indian
0,23.42,79000.0,0,0,Other,White,1.5,1,1,2,1,ByBirth,80,400000,1,Employed,Indian
0,20.42,83500.0,1,1,Other,White,1.585,1,1,1,0,ByBirth,0,0,1,Employed,Indian
1,26.67,425000.0,1,1,Other,White,4.29,1,1,1,1,ByBirth,120,0,1,Employed,Indian
1,34.17,154000.0,1,1,Other,White,1.54,1,1,1,1,ByBirth,520,50000000,1,Employed,Indian
0,36.0,100000.0,1,1,Other,White,2.0,1,1,11,0,ByBirth,0,456000,1,Employed,Indian
1,25.5,37500.0,1,1,Other,White,0.25,1,1,3,0,ByBirth,260,15108000,1,Employed,Indian
1,19.42,650000.0,1,1,Manufacturing,Black,1.46,1,1,7,0,ByBirth,80,2954000,1,Employed,Indian
1,35.17,2512500.0,1,1,Other,Black,1.625,1,1,1,1,ByBirth,515,500000,1,Employed,Indian
1,32.33,750000.0,1,1,Education,Asian,1.585,1,0,0,1,ByOtherMeans,420,0,0,Employed,Indian
1,34.83,400000.0,1,1,Other,Asian,12.5,1,0,0,1,ByBirth,0,0,0,Employed,Indian
0,38.58,500000.0,1,1,Other,White,13.5,1,0,0,1,ByBirth,980,0,0,Employed,Indian
1,44.25,50000.0,1,1,Other,White,10.75,1,0,0,0,ByOtherMeans,400,0,0,Employed,Indian
1,44.83,700000.0,0,0,Other,White,1.625,0,0,0,0,ByBirth,160,2000,0,Employed,Indian
1,20.67,529000.0,1,1,Other,White,0.375,1,1,1,0,ByBirth,160,0,0,Employed,Indian
1,34.08,650000.0,1,1,Other,White,0.125,1,0,0,1,ByBirth,443,0,0,Employed,Indian
0,19.17,58500.0,0,0,Other,White,0.585,1,0,0,1,ByBirth,160,0,0,Employed,Indian
1,21.67,116500.0,0,0,Banking,White,2.5,1,1,1,0,ByBirth,180,20000,0,Employed,Indian
1,21.5,975000.0,1,1,Other,White,0.25,1,0,0,0,ByBirth,140,0,0,Employed,Indian
1,49.58,1900000.0,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth,94,0,0,Unemployed,Indian
0,27.67,150000.0,1,1,Other,White,2.0,1,0,0,0,ByOtherMeans,368,0,0,Employed,Indian
1,39.83,50000.0,1,1,Other,White,0.25,1,0,0,0,ByOtherMeans,288,0,0,Employed,Indian
0,28.46,350000.0,1,1,Other,White,3.0,1,0,0,1,ByBirth,300,0,0,Employed,Indian
1,27.25,62500.0,1,1,Other,White,0.455,1,0,0,1,ByBirth,200,0,0,Employed,Indian
1,37.17,400000.0,1,1,Other,Asian,5.0,1,0,0,1,ByOtherMeans,280,0,0,Employed,Indian
1,28.46,37500.0,1,1,Other,White,0.875,1,0,0,1,ByOtherMeans,928,0,0,Employed,Indian
1,25.67,221000.0,0,0,Other,White,4.0,1,0,0,0,ByBirth,188,0,0,Employed,Indian
1,34.0,450000.0,1,1,Other,White,1.0,1,0,0,1,ByBirth,240,0,0,Employed,Indian
0,49.0,150000.0,1,1,Other,Other,0.0,1,0,0,1,ByBirth,100,27000,0,Unemployed,Indian
